Jurisdiction (tradition),Founding act,Intangibility (technology),Recognition of the other
"Germany, 1949 (civil law)",Preamble before 'God and men',"Eternity clause, art. 79(3) (textual)",Universal dignity (art. 1)
"France, 1958 (civil law)",One and indivisible Republic,"Republican form, art. 89 (textual)",Laïcité as common framework (art. 1)
"United States, 1787 (common law)",'We the People... ordain and establish',"Aggravated amendment, art. V (procedural)",Equality amendments (XIV)
United Kingdom (common law),"Distributed: statutes, precedent, convention",Convention and continuity (ritual),Devolution; multinational union
"India, 1950 (Hindu / common law)","'We, the People of India... adopt, enact'","Basic structure doctrine, Kesavananda 1973 (doctrinal)",Personal laws; SC/ST guarantees; art. 17
"Japan, 1946 (East Asian)",Popular sovereignty after defeat,Art. 9 never amended (ritual),Pacifism as identity (art. 9)
"China, 1982 (East Asian / socialist)",Programmatic preamble,Party leadership entrenched; text follows mechanism,Recognized nationalities; regional autonomy
"Russia, 1993 (civil / post-socialist)","'We, the multinational people' after 1991 rupture","Chs. 1, 2, 9 reserved to Constitutional Assembly (structural)",Multinational people; republics and languages (art. 68)
Israel (Talmudic / mixed),Declaration 1948; Harari 1950: distributed Basic Laws,"Judicially declared supremacy, Migdal 1995 (doctrinal)",'Jewish and democratic' tension; 2018 Nation-State Law
"Saudi Arabia, 1992 (Islamic)",Basic Law under Qur'an and Sunna (art. 1),Revealed inscription: absolutely unamendable,Dhimma-derived and residency statuses
"Iran, 1979 (Islamic / civil)",Islamic Republic by referendum,Art. 4: Islamic criteria over all law (doctrinal-clerical),Recognized religious minorities (art. 13)
"Egypt, 2014 (Islamic / civil)",Revolutionary preamble,Art. 2: shari'a principles as principal source,Christian and Jewish personal status (art. 3)
"South Africa, 1996 (mixed / African)",Constitution as 'supreme law'; healing,"Founding values, art. 1; s. 74 (textual)",Ubuntu (Makwanyane); 11 languages
"Kenya, 2010 (African / common law)","'We, the people of Kenya' by referendum","Supremacy, art. 2; referendum entrenchment",Culture as foundation (art. 11); traditional justice (art. 159)
"Ethiopia, 1995 (African / civil)","'We, the Nations, Nationalities and Peoples'",Deliberately soft on union: art. 39 secession,Sovereignty of the peoples (art. 8)
"Australia, 1901 (common / chthonic)",Imperial statute; federation referenda,"Double-majority referendum, s. 128",Mabo 1992; constitutional silence (2023 referendum)
New Zealand (common / chthonic),"Treaty of Waitangi 1840, dual text",Uncodified; Treaty principles (doctrinal-ritual),Tino rangatiratanga; te Tiriti in Māori
"Canada, 1867/1982 (common / civil / chthonic)",Patriation 1982,"Amending formulas, Part V",S. 35: aboriginal and treaty rights affirmed
"Mexico, 1917/2012 (civil law)",'Will of the Mexican people',"Reinforced rigidity, art. 135 (procedural)",Pluricultural composition (art. 2)
"Colombia, 1991 (civil law)",Pluralist nation,"Substitution doctrine, since C-551/2003 (doctrinal)",Ethnic and cultural diversity (art. 7)
"Ecuador, 2008 (civil / chthonic)",Invocation of the Pachamama,Reform vs. substitution (textual-doctrinal),Nature as subject (art. 71)
"Bolivia, 2009 (civil / chthonic)",Plurinational State,Rigidity and constitutional bloc,Indigenous principles in indigenous languages (art. 8)
