Tradition (Glenn),Point of capture,Mode of inscription,Technology of hardness,Exemplary orders
Civil law,Twelve Tables; Digest; codifications,Enacted (code of foundation),Textual (eternity clauses); centralized review,"Germany, France, Italy, Latin America"
Common law,Writs of Henry II; accumulated cases,"Distributed (statute, precedent, convention)",Ritual-conventional; doctrinal (Marbury),"United Kingdom, United States (hybrid)"
Chthonic,The Dreaming; oral transmission,"Distributed (memory, rite, land)",Ritual (not for the living to alter),"Australia, New Zealand, Canada, Andean states"
Talmudic,Torah; Mishnah and Gemara,Revealed + distributed commentary,Doctrinal (Migdal); textual community,Israel (Basic Laws)
Islamic,Qur'an; hadith; fiqh,Revealed (first degree) + enacted (second degree),Absolute (revealed core); repugnancy control,"Saudi Arabia, Iran, Egypt"
Hindu,Sruti and Smriti; dharmashastra,Enacted over plural personal laws,Doctrinal (basic structure),India
East Asian,The classics; li over fa,Enacted; program beside mechanism,Ritual (Japan); party-normative (China),"Japan, China"
Socialist,1917 rupture; 1936 model text,"Enacted, programmatic (semantic)","Structural (RF chs. 1, 2, 9); party direction","USSR (hist.), Russia, China, Cuba, Vietnam"
African / mixed,Customary law; liberation founding,"Enacted, incorporating custom",Textual + referendum; reparative values,"South Africa, Kenya, Ethiopia"
Supranational,"Founding treaties; Van Gend, Costa","Treaty + doctrine (second degree, secular)",Doctrinal (primacy); counter-limits dialogue,"EU, ECHR system, UN Charter art. 103"
